,chunk_id,doc_id,title,topic,url,source_type,source_name,section,chunk_order,last_edited,retrieved,chunk_text,word_count,char_count,size_bucket
18,gov_003_003,gov_003,Students and Employment | USCIS,employment,https://www.uscis.gov/working-in-the-united-states/students-and-exchange-visitors/students-and-employment,gov,uscis,Students and Employment > M-1 Student Visa,3,11/20/2025,4/19/2026,"The M-1 visa (Vocational Student) category includes students in vocational or other nonacademic programs, other than language training.",18,135,tiny (<20)
86,gov_010_007,gov_010,How Do I Request Premium Processing? | USCIS,premium processing,https://www.uscis.gov/forms/all-forms/how-do-i-request-premium-processing,gov,uscis,How Do I Request Premium Processing? > How do I verify that I am using the current version of the form?,7,3/23/2026,4/19/2026,Check the Edition Date section of our [Form I-907](/i-907) webpage for information on the current edition date.,17,111,tiny (<20)
115,gov_013_004,gov_013,Unemployment Counter | Study in the States,unemployment,https://studyinthestates.dhs.gov/sevis-help-hub/student-records/fm-student-employment/unemployment-counter,gov,dhs,Contact Us,4,5-Aug-21,4/19/2026,"SEVP Response Center

703-603-3400

Monday - Friday

8:00 a.m. to 6:00 p.m. ET,

except holidays

ICE Tip Line",18,110,tiny (<20)
145,uni_001_020,uni_001,F-1 OPT (Optional Practical Training) During Your Degree Program | ISSO,opt,https://isso.columbia.edu/content/f-1-opt-optional-practical-training-during-your-degree-program,uni,columbia,Submit Your OPT I-765 Application online through your USCIS account. > “What is your eligibility category?”,20,,4/19/2026,- Choose ONLY “(c)(3)(A) Student Pre-Completion OPT”.,7,53,tiny (<20)
146,uni_001_021,uni_001,F-1 OPT (Optional Practical Training) During Your Degree Program | ISSO,opt,https://isso.columbia.edu/content/f-1-opt-optional-practical-training-during-your-degree-program,uni,columbia,Submit Your OPT I-765 Application online through your USCIS account. > “What is your reason for applying?”,21,,4/19/2026,- Choose the option “Initial permission for employment”.,8,56,tiny (<20)
148,uni_001_023,uni_001,F-1 OPT (Optional Practical Training) During Your Degree Program | ISSO,opt,https://isso.columbia.edu/content/f-1-opt-optional-practical-training-during-your-degree-program,uni,columbia,Submit Your OPT I-765 Application online through your USCIS account. > “Status at last arrival”,23,,4/19/2026,"- Scroll down to “F1 - F1 - Student, Academic Or Language Program.”",13,67,tiny (<20)
161,uni_001_036,uni_001,F-1 OPT (Optional Practical Training) During Your Degree Program | ISSO,opt,https://isso.columbia.edu/content/f-1-opt-optional-practical-training-during-your-degree-program,uni,columbia,USCIS Processing Time and EAD Delivery FAQs > What happens if my OPT is approved after the start date I requested on my I-20?,36,,4/19/2026,"Generally, USCIS will adjust the start date on your EAD card to the date that USCIS approved your OPT.",19,102,tiny (<20)
166,uni_002_001,uni_002,Travel Signatures and I-20/DS-2019 Reprints (F and J Students) | ISSO,i20 traveling,https://isso.columbia.edu/content/travel-signatures-and-i-20ds-2019-reprints-f-and-j-students,uni,columbia,Travel Signatures and I-20/DS-2019 Reprints (F and J Students),1,,4/19/2026,**On This Page:**,3,17,tiny (<20)
175,uni_002_010,uni_002,Travel Signatures and I-20/DS-2019 Reprints (F and J Students) | ISSO,i20 traveling,https://isso.columbia.edu/content/travel-signatures-and-i-20ds-2019-reprints-f-and-j-students,uni,columbia,Travel Signatures and I-20/DS-2019 Reprints (F and J Students) > Compass will require you to upload your most recent I-94,10,,4/19/2026,Access your most recent [I-94 Arrival Record](https://i94.cbp.dhs.gov/I94/#/recent-search) (NOT your I-94 travel history),12,121,tiny (<20)
186,uni_003_009,uni_003,Documents Needed to Travel (Students) | ISSO,traveling,https://isso.columbia.edu/content/documents-needed-travel-student,uni,columbia,Traveling Outside the U.S. > J-2 Student Dependents > Want To See More?,9,,4/19/2026,Watch our short international travel overview video.,7,52,tiny (<20)
189,uni_003_012,uni_003,Documents Needed to Travel (Students) | ISSO,traveling,https://isso.columbia.edu/content/documents-needed-travel-student,uni,columbia,2. You're already abroad and you don't have your I-20/DS-2019 with you OR your travel signature has expired or will expire before your return > Request a new I-20/DS-2019,12,,4/19/2026,Your new form will have an updated travel signature on it. Follow the instructions on our [Travel Signatures webpage](https://isso.columbia.edu/content/travel-signatures-and-passport-renewal#/text-4328).,19,203,tiny (<20)
203,uni_004_011,uni_004,Travel During F-1 OPT | ISSO,traveling,https://isso.columbia.edu/content/travel-during-f-1-opt,uni,columbia,Travel During F-1 OPT > Documents Needed to Return to the U.S. > Learn more!,11,,4/19/2026,Watch our short overview of travel on OPT from our [OPT playlist](http://bit.ly/optplaylist):,12,93,tiny (<20)
207,uni_005_004,uni_005,On-Campus Work (F and J Students) | ISSO,campus work,https://isso.columbia.edu/content/campus-work-f-and-j-students,uni,columbia,On-Campus Work (F and J Students) > Information for both F and J students > You are not eligible for jobs classified as “Work-Study”,4,,4/19/2026,This is because Work-Study jobs are subsidized by federal financial aid for domestic students.,14,94,tiny (<20)
211,uni_005_008,uni_005,On-Campus Work (F and J Students) | ISSO,campus work,https://isso.columbia.edu/content/campus-work-f-and-j-students,uni,columbia,On-Campus Work (F and J Students) > Want to see more?,8,,4/19/2026,Watch from [00:00 - 1:49](https://www.youtube.com/watch?v=Zjpcy9K8CVs&feature=emb_logo) to get a quick overview of on-campus work!,13,130,tiny (<20)
217,uni_006_004,uni_006,F-1 CPT (Curricular Practical Training) | ISSO,cpt,https://isso.columbia.edu/content/f-1-cpt-curricular-practical-training,uni,columbia,Before You Apply,4,,4/19/2026,CPT can be used only during the academic program.,9,49,tiny (<20)
